Address,Varies,P1,P2,P3
0x0534,No,0x00,0x00,0x00
0x0535,No,0x00,0x00,0x00
0x0536,No,0x06,0x06,0x06
0x0537,No,0x00,0x00,0x00
0x0538,No,0x21,0x21,0x21
0x0539,No,0x43,0x43,0x43
0x053A,No,0x02,0x02,0x02
0x053B,No,0x03,0x03,0x03
0x053C,No,0x00,0x00,0x00
0x053D,No,0x0C,0x0C,0x0C
0x053E,No,0x06,0x06,0x06
0x0542,No,0x00,0x00,0x00
0x0543,No,0x00,0x00,0x00
0x0544,No,0x00,0x00,0x00
0x0545,No,0x00,0x00,0x00
0x0589,Yes,0xA0,0xC1,0xC1
0x058A,No,0x02,0x02,0x02
0x059B,No,0xFA,0xFA,0xFA
0x059D,No,0x10,0x10,0x10
0x059E,No,0x20,0x20,0x20
0x059F,No,0x0D,0x0D,0x0D
0x05A0,No,0x0C,0x0C,0x0C
0x05A1,No,0x07,0x07,0x07
0x05A2,No,0x07,0x07,0x07
0x05A6,No,0x0B,0x0B,0x0B
0x0602,No,0x01,0x01,0x01
0x0608,No,0x10,0x10,0x10
0x0609,No,0x1E,0x1E,0x1E
0x060A,No,0x0D,0x0D,0x0D
0x060B,No,0x0C,0x0C,0x0C
0x060C,No,0x07,0x07,0x07
0x060D,No,0x07,0x07,0x07
0x060E,No,0x14,0x14,0x14
0x060F,No,0x28,0x28,0x28
0x0610,No,0x09,0x09,0x09
0x0611,No,0x08,0x08,0x08
0x0612,No,0x07,0x07,0x07
0x0613,No,0x07,0x07,0x07
0x0615,No,0x00,0x00,0x00
0x0616,No,0x00,0x00,0x00
0x0617,No,0x00,0x00,0x00
0x0618,No,0x00,0x00,0x00
0x0619,No,0xC0,0xC0,0xC0
0x061A,No,0x3C,0x3C,0x3C
0x061B,No,0x00,0x00,0x00
0x061C,No,0x00,0x00,0x00
0x061D,No,0x00,0x00,0x00
0x061E,No,0x00,0x00,0x00
0x061F,No,0x80,0x80,0x80
0x0621,No,0x2B,0x2B,0x2B
0x0622,No,0x01,0x01,0x01
0x0623,No,0x00,0x00,0x00
0x0624,No,0x00,0x00,0x00
0x0625,No,0x00,0x00,0x00
0x0626,No,0x00,0x00,0x00
0x0627,No,0x00,0x00,0x00
0x0628,No,0x00,0x00,0x00
0x0629,No,0x00,0x00,0x00
0x062A,No,0x00,0x00,0x00
0x062B,No,0x01,0x01,0x01
0x062C,No,0x87,0x87,0x87
0x062D,No,0x03,0x03,0x03
0x062E,No,0x19,0x19,0x19
0x062F,No,0x19,0x19,0x19
0x0631,No,0x00,0x00,0x00
0x0632,No,0xC3,0xC3,0xC3
0x0633,No,0xA2,0xA2,0xA2
0x0634,No,0x00,0x00,0x00
0x0635,No,0x00,0x00,0x00
0x0636,No,0x06,0x06,0x06
0x0637,No,0x00,0x00,0x00
0x0638,No,0x21,0x21,0x21
0x0639,No,0x43,0x43,0x43
0x063A,No,0x02,0x02,0x02
0x063B,No,0x03,0x03,0x03
0x063C,No,0x00,0x00,0x00
0x063D,No,0x0C,0x0C,0x0C
0x063E,No,0x06,0x06,0x06
0x0642,No,0x00,0x00,0x00
0x0643,No,0x00,0x00,0x00
0x0644,No,0x00,0x00,0x00
0x0645,No,0x00,0x00,0x00
0x0689,Yes,0xA0,0xC1,0xC1
0x068A,No,0x02,0x02,0x02
0x069B,No,0xFA,0xFA,0xFA
0x069D,No,0x10,0x10,0x10
0x069E,No,0x20,0x20,0x20
0x069F,No,0x0D,0x0D,0x0D
0x06A0,No,0x0C,0x0C,0x0C
0x06A1,No,0x07,0x07,0x07
0x06A2,No,0x07,0x07,0x07
0x06A6,No,0x0B,0x0B,0x0B
0x0702,No,0x01,0x01,0x01
0x0709,No,0x10,0x10,0x10
0x070A,No,0x1E,0x1E,0x1E
0x070B,No,0x0D,0x0D,0x0D
0x070C,No,0x0C,0x0C,0x0C
0x070D,No,0x07,0x07,0x07
0x070E,No,0x07,0x07,0x07
0x070F,No,0x14,0x14,0x14
0x0710,No,0x28,0x28,0x28
0x0711,No,0x09,0x09,0x09
0x0712,No,0x08,0x08,0x08
0x0713,No,0x07,0x07,0x07
0x0714,No,0x07,0x07,0x07
0x0716,No,0x00,0x00,0x00
0x0717,No,0x00,0x00,0x00
0x0718,No,0x00,0x00,0x00
0x0719,No,0x00,0x00,0x00
0x071A,No,0x02,0x02,0x02
0x071B,No,0x3A,0x3A,0x3A
0x071C,No,0x00,0x00,0x00
0x071D,No,0x00,0x00,0x00
0x071E,No,0x00,0x00,0x00
0x071F,No,0x00,0x00,0x00
0x0720,No,0x80,0x80,0x80
0x0722,No,0x2B,0x2B,0x2B
0x0723,No,0x01,0x01,0x01
0x0724,No,0x00,0x00,0x00
0x0725,No,0x00,0x00,0x00
0x0726,No,0x00,0x00,0x00
0x0727,No,0x00,0x00,0x00
0x0728,No,0x00,0x00,0x00
0x0729,No,0x00,0x00,0x00
0x072A,No,0x00,0x00,0x00
0x072B,No,0x00,0x00,0x00
0x072C,No,0x01,0x01,0x01
0x072D,No,0x87,0x87,0x87
0x072E,No,0x03,0x03,0x03
0x072F,No,0x19,0x19,0x19
0x0730,No,0x19,0x19,0x19
